,Position 1,Position 2,Position 3,Position 4,Position 5
A,0.0514,0.1615,0.1051,0.0589,0.0309
B,0.075,0.0056,0.0222,0.0172,0.0042
C,0.0764,0.0142,0.032,0.0365,0.0083
D,0.054,0.0075,0.0309,0.0379,0.0749
E,0.0224,0.1146,0.0689,0.2133,0.1033
F,0.0552,0.0021,0.0151,0.0174,0.0076
G,0.0485,0.0042,0.0241,0.0306,0.0106
H,0.0415,0.0471,0.0068,0.0127,0.0333
I,0.0129,0.1169,0.0896,0.0493,0.0078
J,0.0127,0.0007,0.0014,0.0007,0.0
K,0.0158,0.005,0.0156,0.0422,0.0248
L,0.0471,0.0625,0.0674,0.0634,0.0351
M,0.0518,0.0123,0.0363,0.0327,0.0134
N,0.0205,0.0292,0.0712,0.067,0.0353
O,0.0188,0.1582,0.0841,0.0455,0.0261
P,0.067,0.0196,0.0294,0.034,0.0158
Q,0.0068,0.0017,0.0007,0.0,0.0
R,0.0465,0.0792,0.0825,0.0538,0.0696
S,0.1257,0.0069,0.0431,0.0446,0.3064
T,0.0653,0.0212,0.0486,0.0776,0.0625
U,0.013,0.0927,0.0544,0.0267,0.0023
V,0.0189,0.0047,0.021,0.0106,0.0
W,0.0396,0.0141,0.017,0.0122,0.0049
X,0.0007,0.0057,0.0116,0.0009,0.0052
Y,0.0082,0.0113,0.0118,0.0071,0.1155
Z,0.0042,0.001,0.009,0.0071,0.0021
